03/10/2011,08:30:00-10:30:00;06/10/2011,08:30:00-10:30:00	Curso	Curso sobre LUA -primeira parte	Grupo PET	Curso sobre a linguagem LUA usada para jogos e em TV digital (4 horas de duração - 2 encontros)	Laboratório 103 - Prédio 67
05/10/2011,09:00:00-10:00:00	Palestra	Tecnologia em Smart Grid	Eng Rafael Caillava Krapf, MSc _ ELO	Palestra da empresa ELO sobre sua linhas de desenvolvimento e pesquisa na área smart grids	Auditório Prof. Castilho (Verde)
05/10/2011,10:30:00-12:30:00	Reuniao	Conversando com as Comgrads	Comgrad (Sergio Cechin e Raul Weber)	Discussão sobre recusa de matrícula, jubilamento, FFs e vários outros aspectos relativos a graduação dos cursos CIC e ECP.	Auditório Prof. Castilho (Verde)
05/10/2011,13:30:00-14:30:00	Reunião	Regulamentação da profissão	Daltro Nunes	A palestra tem objetivo mostrar as vantagens e desvantagens da regulamentação da profissão de informática e mostrar como esta profissão é regulamentada em diferentes países.	Sala de aula 106 - prédio 67
05/10/2011,14:30:00-16:00:00	Palestra	Intercambio corporativo	AIESEC	Iremos falar sobre a importância de experiência de estágio internacional e de gestão de equipes para a carreira na área de informática, com cases de alunos do Instituto de Informática. Abordaremos o desenvolvimento de competências importantes para o mercado de trabalho atulmente, como responsabilidade social, olhar empreendedor e visão global.	Auditório Prof. Castilho (Verde)
06/10/2011,08:30:00-12:30:00	Maratona de Programação	Maratona de programação da ACM	Comba/ Raul Weber 	A tradicional maratona de programação da ACM, onde cada equipe, formada por três alunos, tenta resolver o maior número de problemas no menor espaço de tempo. Linguagens permitidas: C, C++ e Java.	laboratorio
06/10/2011,10:30:00-12:30:00	Mini-Curso	Tutorial de desenvolvimento e uso de Web services com Java	Kassius Vargas - Conexum	O tutorial é organizado pelos bolsistas da empresa Conexum, incubada no CEI. Os bolsistas são nossos alunos da graduação. O tutorial consiste em mostrar como desenvolver Web services (serviços Web) em Java, tanto na visão do servidor quanto do cliente. Envolve a configuração e o uso de serviços Web para desenvolver aplicações.	laboratório
06/10/2011,14:00:00-16:30:00	Mini-Curso	Tutorial ASTERISK: servidor de telefonia	Jeferson Rubert - Conexum	O tutorial é organizado pelos bolsistas da empresa Conexum, incubada no CEI. Os bolsistas são nossos alunos da graduação. O tutorial consiste em mostrar o sistema Asterisk e suas aplicações, incluindo detalhes de instalação e configuração.	Auditório Prof. Castilho (Verde)
06/10/2011,14:00:00-16:00:00	Palestra	Colocando idéias no papel 	André Reis	Nós, nerds em geral, não somos treinados para nos comunicar, seja de forma escrita ou oral. Esta palestra faz  algumas reflexões sobre nossa incomunicabilidade e apresenta  mecanismos praticos para mitigar esta falta de comunicacao  com aplicações na escrita de artigos, na escrita de teses e dissertações, na escrita de patentes, etc... 	auditório
06/10/2011,14:00:00-16:00:00	Reunião	Centenário do Nascimento de Turing - Planejamento no INF	Marcelo Walter e Dante Barone	Em 2012 ocorre o centenário de nascimento de Alan Turing. No mundo todo estão sendo planejadas atividades e eventos comemorativos. Esta reunião tem por objetivo iniciar o planejamento no INF e na UFRGS das atividades comemorativas a este centenário.  Pretendemos identificar as pessoas interessadas em colaborar com estas atividades e montar um grupo para organizar e realizar as comemorações. Possibilidades de atividades incluem: palestras técnicas, painéis de discussão, exibição no museu da UFRGS, ciclo de filmes, peça teatral, entre outras	sala
07/10/2011,08:30:00-12:30:00	Mini-Curso	Desenvolvimento de Games com Unity3D - SEGUNDA PARTE (4 horas)	Raphael Baldi e Mauricio Longoni - Aquiris Game Studio	Segunda parte do mini curso de desenvolvimento de games usando a engine Unity3D, onde serão abordados os aspectos básicos de funcionamento da ferramenta:- interface do editor; - conceitos de hierarquia, GameObjects e Components;  - Tags, layers, iluminação, materiais, shading; - linguagens de scripts, criando componentes customizados; - Aplicando comportamentos aos objetos; - Aplicando física aos games; - Desenvolvendo para as diferentes plataformas (PC/ Mac /iOS/ Android/ XBOX360 /PS3); - Build e Publicação.	Laboratório
07/10/2011,09:30:00-10:30:00	Reunião	Grupo de Trabalho em Técnicas Digitais	Comgrad CIC	Discussão sobre a linha de técnicas digitais no currículo da Ciência da Computação	Sala
07/10/2011,10:30:00-11:30:00	Palestra	CANCELADA POR MOTIVO DE DOENÇA	Lucas Medina -ThoughtWorks, Inc	With our humorous and engaging comparison of software development to sandwich making skills we’ll share with you a high-level view of a week in the life of an Agile Business Analyst. This presentation will touch on a variety of analysis techniques that could be applied throughout the first iteration of an Agile project. Come out and participate in this interactive talk – we’re sure you’ll enjoy the sandwich we’ve got prepared for you!	Auditório Prof. Castilho (Verde)
07/10/2011,13:30:00-14:30:00	Palestra	Ramo estudantil IEEE na UFRGS - Por que ser um membro IEEE?	Cláudio M. Diniz - Alunos da coordenação do ramo estudantil IEEE na UFRGS	 O IEEE é a maior organização profissional do mundo (em número de sócios). O ramo estudantil tem como objetivo trazer os benefícios do IEEE para a universidade. A palestra abordará os benefícios do aluno se associar no IEEE e que tipos de atividades o ramo estudantil planeja organizar.	auditório
07/10/2011,14:30:00-16:30:00	Palestra	AEL Sistemas - Desenvolvimento de Equipamentos de Defesa	José Eduardo Klippel - AEL	Palestra da empresa AEL sobre sua linhas de desenvolvimento e pesquisa na área de sistemas embarcados	Auditório Prof. Castilho (Verde)
03/10/2011,16:00:00-18:30:00;04/10/2011,16:00:00-18:30:00;05/10/2011,16:00:00-18:30:00;06/10/2011,16:00:00-18:30:00;07/10/2011,16:00:00-18:30:00	Curso	PHP	Grupo PET	Curso sobre PHP - 10 horas de duração (2 horas por dia, de segunda a sexta)	laboratório
